match,utility,report_id,warehouse_event,dataset_customers,warehouse_customers,customers_diff,customers_diff_pct,dataset_first_date,warehouse_first_date,first_date_diff_days,dataset_last_date,warehouse_last_date,last_date_diff_days,dataset_counties,warehouse_counties,dataset_county_names,warehouse_county_names,dataset_time_source,dataset_first_is_listing_date
dataset_only_outside_window,SCE,sce__sce_post_event_reporting_october_21_through_october_26_2019,,31386,,,,2019-10-23,,,2019-10-28,,,6,,Kern; Los Angeles; Orange; Riverside; San Bernardino; Ventura,,PDF page 110,False
dataset_only_outside_window,SCE,sce__sce_post_event_reporting_september_4_through_september_8_2019,,650,,,,2019-09-07,,,2019-09-08,,,1,,Santa Barbara,,PDF page 5,False
dataset_only_outside_window_no_shutoff,SCE,sce__sce_psps_post_event_report_june_28july8_2019_7222019,,0,,,,2019-06-28,,,,,,0,,,,,True
dataset_only_outside_window_no_shutoff,SCE,sce__sce_psps_post_event_reportjune_17_22_2019_752019,,0,,,,2019-06-17,,,,,,0,,,,,True
dataset_only_outside_window_no_shutoff,SCE,sce__sce_psps_postevent_report_july_921_2019_822019,,0,,,,2019-07-09,,,,,,0,,,,,True
dataset_only_outside_window,SCE,sce__sce_psps_postevent_report_nov_1517_2019_1222019,,49,,,,2019-11-17,,,2019-11-17,,,1,,Ventura,,PDF page 7,False
dataset_only_outside_window,SCE,sce__sce_psps_postevent_report_oct_1221_2019_1112019,,444,,,,2019-10-16,,,2019-10-21,,,4,,Kern; Los Angeles; Mono; San Bernardino,,PDF page 7,False
dataset_only_outside_window,SCE,sce__sce_psps_postevent_report_sept_21oct1_2019_10152019,,85,,,,2019-09-24,,,2019-09-24,,,1,,Riverside,,PDF page 5,False
dataset_only_outside_window_no_shutoff,SCE,sce__sce_psps_postevent_reportaug_1217_2019_8302019,,0,,,,2019-08-12,,,,,,0,,,,,True
dataset_only_outside_window_no_shutoff,SCE,sce__sce_psps_postevent_reportaug_310_2019_8222019,,0,,,,2019-08-03,,,,,,0,,,,,True
dataset_only_outside_window_no_shutoff,SCE,sce__sce_psps_postevent_reportjuly_2228_2019_892019,,0,,,,2019-07-22,,,,,,0,,,,,True
dataset_only_outside_window_no_shutoff,SCE,sce__sce_psps_postevent_reportjuly_29aug_2_2019_8162019,,0,,,,2019-07-29,,,,,,0,,,,,True
dataset_only_outside_window,SCE,sce__sce_psps_postevent_reportoct_212_2019_10252019,,24112,,,,2019-10-09,,,2019-10-18,,,6,,Kern; Los Angeles; Riverside; San Bernardino; Santa Barbara; Ventura,,PDF page 8,False
dataset_only_outside_window,SCE,sce__sce_psps_postevent_reportoct_27nov_4_2019_11192019,,126364,,,,2019-10-27,,,2019-11-06,,,7,,Fresno; Kern; Los Angeles; Madera; Riverside; San Bernardino; Ventura,,PDF page 5,False
dataset_only_outside_window,SCE,sce__sce_psps_postevent_reportsept_919_2019_1032019,,14500,,,,2019-09-16,,,2019-09-18,,,2,,Inyo; Mono,,PDF page 6,False
dataset_only_outside_window,SCE,sce__2020_11_29_sce_psps_post_event_report_final,,51407,,,,2020-12-02,,,2020-12-04,,,6,,Kern; Los Angeles; Orange; Riverside; San Bernardino; Ventura,,PDF page 6,False
dataset_only_outside_window,SCE,sce__nov_14_18_2020_sce_psps_post_event_report,,517,,,,2020-11-16,,,2020-11-18,,,4,,Inyo; Mono; Kern; Los Angeles,,PDF page 6,False
dataset_only_outside_window,SCE,sce__nov_24_28_2020_sce_psps_post_event_report,,20687,,,,2020-11-26,,,2020-11-28,,,5,,Kern; Los Angeles; Orange; San Bernardino; Ventura,,PDF page 6,False
dataset_only_outside_window,SCE,sce__nov_3_7_2020_sce_psps_post_event_report,,1335,,,,2020-11-06,,,2020-11-07,,,2,,Mono County; San Bernardino County,,PDF page 6,False
dataset_only_outside_window_no_shutoff,SCE,sce__sce_jun_25_28_2020_psps_post_event_report,,0,,,,2020-06-25,,,,,,0,,,,,True
dataset_only_outside_window_no_shutoff,SCE,sce__sce_may_27_30_2020_psps_post_event_report,,0,,,,2020-05-27,,,,,,0,,,,,True
