utility,event_year,label,filename,listing,source_url,report_id,read_before
SDG&E,2018,"Jan. 27-29, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-jan-27-29-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-jan-27-29-2018.pdf,sdge__sdge_de_energization_report_jan_27_29_2018,
SDG&E,2018,"Nov. 11-16, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-nov-11-16-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-nov-11-16-2018.pdf,sdge__sdge_de_energization_report_nov_11_16_2018,
SDG&E,2018,"Oct. 15-16, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-oct-15-16-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-15-16-2018.pdf,sdge__sdge_de_energization_report_oct_15_16_2018,
SDG&E,2018,"Oct. 19-20, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-oct-19-20-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-19-20-2018.pdf,sdge__sdge_de_energization_report_oct_19_20_2018,round2:r2_sdge_2017_2019
SDG&E,2018,"Nov. 8-9, 2018: De-Energization Post Event Report",sdge-de-energization-report_nov-89-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report_nov-89-2018.pdf,sdge__sdge_de_energization_report_nov_89_2018,
SDG&E,2019,"Oct. 10-11, 2019 Pro-Active De-Energization Post Event Report",sdge-post-event-psps-report-october-10-to-11-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sdge-post-event-psps-report-october-10-to-11-2019.pdf,sdge__sdge_post_event_psps_report_october_10_to_11_2019,
SDG&E,2019,"Oct. 20-Nov. 1, 2019 Pro-Active De-Energization Post Event Report",sdge-post-event-psps-report_october-20november-1_0.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sdge-post-event-psps-report_october-20november-1_0.pdf,sdge__sdge_post_event_psps_report_october_20november_1_0,
SDG&E,2019,"Nov. 17-18, 2019: Pro-Active De-Energization Post Event Report",sdge-psps-report-nov-1719-2019-1232019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sdge/sdge-psps-report-nov-1719-2019-1232019.pdf,sdge__sdge_psps_report_nov_1719_2019_1232019,
SDG&E,2020,"Oct. 26-27, 2020: PSPS Post Event Report",sdge-oct-26-27-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sdge-oct-26-27-2020-psps-post-event-report.pdf,sdge__sdge_oct_26_27_2020_psps_post_event_report,
SDG&E,2020,"Dec. 23-24, 2020: PSPS Post Event Report",sdge-psps-post-event-report_december-23-24-final.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2020/sdge-psps-post-event-report_december-23-24-final.pdf,sdge__sdge_psps_post_event_report_december_23_24_final,round2:r2_sdge_2020
SDG&E,2020,"Nov. 26-Dec. 9, 2020: PSPS Post Event Report",sdge-psps-postevent-reportnov-26dec-9-12232020.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2020/sdge-psps-postevent-reportnov-26dec-9-12232020.pdf,sdge__sdge_psps_postevent_reportnov_26dec_9_12232020,
SDG&E,2020,"Sept. 28-29, 2020: PSPS Post Event Report",sdge-sept-28-29-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/sdge-sept-28-29-2020-psps-post-event-report.pdf,sdge__sdge_sept_28_29_2020_psps_post_event_report,
SDG&E,2020,"Sept. 8-9, 2020: PSPS Post Event Report",sdge-sept-8-9-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sdge-sept-8-9-2020-psps-post-event-report.pdf,sdge__sdge_sept_8_9_2020_psps_post_event_report,pilot:sdge_2020_09_08
SDG&E,2021,"Jan 14-16, 2021: SDGE PSPS Post Event Report",jan-1416-2021-sdge-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-1416-2021-sdge-psps-post-event-report.pdf,sdge__jan_1416_2021_sdge_psps_post_event_report,round2:r2_sdge_2021_2022
SDG&E,2021,"Nov 24-26, 2021: SDG&E PSPS Post Event Report",r1812005-sdge-psps-postevent-report-112426.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sdge-psps-postevent-report-112426.pdf,sdge__r1812005_sdge_psps_postevent_report_112426,pilot:sdge_2021_11_24
SDG&E,2023,"October 29, 2023: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-oct-2931-2023-11-14-2023.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sdge-psps-postevent-report-oct-2931-2023-11-14-2023.pdf,sdge__r1812005_sdge_psps_postevent_report_oct_2931_2023_11_14_2023,
SDG&E,2024,"December 9, 2024: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf,sdge__r1812005_sdge_psps_postevent_report_dec_911_2024_1_10_2025,round2:r2_sdge_2023_2024
SDG&E,2024,"November 6, 2024: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-nov-68-2024.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-nov-68-2024.pdf,sdge__r1812005_sdge_psps_postevent_report_nov_68_2024,pilot:sdge_2024_11_06
SDG&E,2025,"January 20, 2025: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf,sdge__r1812005_sdge_psps_postevent_report_jan_2024_2025_e_serve_2_24_2025,round2:r2_sdge_2025_2026
SDG&E,2025,"January 7, 2025: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-reportjan-716-2025-eserve.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-psps-postevent-reportjan-716-2025-eserve.pdf,sdge__r1812005_sdge_psps_postevent_reportjan_716_2025_eserve,
